shift,interval,difficulty,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,.label,.startVal,.nReversals,.stepSizes,.nUp,.nDown,.minVal,.maxVal,.stepType,.shift,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.intensity,.response,shift_size,response,rt,jnd,correct,subject,experimenter,experiment,version,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,2,5,False,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s+,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,4,8,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l-,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,4,13,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,4,1,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,2,7,False,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,4,1,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l-,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,4,13,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s+,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,4,8,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,2,9,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s+,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,4,4,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,4,0,False,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l-,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,down,2,11,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l-,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,down,2,11,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,2,9,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,up,4,4,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s+,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,4,4,True,,,,,,9,,IPAD,1.0,
